Action, SubLocation,SubLocation-name,IP,State,Country,Time Zone, Auth-Enable,XFF-Enable, Firewall-Enable, Bandwidth-Enable,Upload(Mbps),Download(Mbps), SurrogateIP-Enable,Digit-TimeUnit,,,,<parent-location-name>,,,SurrogateIP-Enforced-KnownBrowsers,SurrogateIP Refresh Time,GRE-Enable,AUP-Enable,AUP Refresh Time,,,aupBlockInternetAccess-Enable,aupForceSSLInspection-Enable,Caution-Enable,IPS-Enable,Exclude-Manual-Group,Exclude-Dynamic-Group,Kerberos-Enable,Digest-Auth-Enable,Location-Type,Description,Basic-Auth-Enable
+,sublocationip,JAC002B,10.192.4.160/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,LON004A,10.195.180.151/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,LON010A,10.195.188.208/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,JFK036A,10.205.70.80/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,JFK032A,10.205.82.141/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,HFA002A,10.228.182.67/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,TUC015A,10.231.64.96/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,TUC026A,10.248.132.99/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,AJO006A,10.248.153.53/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,WLN008A,10.248.186.243/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,GRF019A,10.42.132.33/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,HID001A,10.94.108.204/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,LAR037A,10.94.132.251/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,CTX005A,10.94.148.54/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,HUS052A,10.94.164.64/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,DLS004C,10.94.90.132/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,sublocationip,MUR005A,192.168.84.84/24,ICP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
